outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
HUST,MATR,0.20000000000000001,169,139148,0.035289530481440082
HUST,MATR,0.10000000000000001,169,139148,0.032433929610175626
HUST,MATR,0.050000000000000003,169,139148,0.028748503631153804
HUST,MATR,0.029999999999999999,169,139148,0.02526184215132176
HUST,MATR,0.02,169,139148,0.022334344776526505
HUST,MATR,0.014999999999999999,169,139148,0.020440558020881915
HUST,MATR,0.01,169,139148,0.018437950413337713
HUST,MATR,0.0050000000000000001,169,139148,0.018706198414123434
HUST,MICH,1,40,19681,0.04302744292927925
HUST,MICH,0.5,40,19681,0.044298180723508947
HUST,MICH,0.20000000000000001,40,19681,0.047670840122053769
HUST,MICH,0.10000000000000001,40,19681,0.052684246495914723
HUST,MICH,0.050000000000000003,40,19681,0.061422407513069176
HUST,MICH,0.029999999999999999,40,19681,0.071111353187175569
HUST,MICH,0.02,40,19681,0.080956240098084609
HUST,MICH,0.014999999999999999,40,19681,0.088911207258393507
HUST,MICH,0.01,40,19681,0.10090913737134546
HUST,MICH,0.0050000000000000001,40,19681,0.1211184038902873
HUST,MICH_EXP,1,18,6455,0.18403793472340524
HUST,MICH_EXP,0.5,18,6455,0.11021159181058475
HUST,MICH_EXP,0.20000000000000001,18,6455,0.067052474920940214
HUST,MICH_EXP,0.10000000000000001,18,6455,0.057288067065914147
HUST,MICH_EXP,0.050000000000000003,18,6455,0.056364844921096169
HUST,MICH_EXP,0.029999999999999999,18,6455,0.057644328327175302
HUST,MICH_EXP,0.02,18,6455,0.059407920232856092
HUST,MICH_EXP,0.014999999999999999,18,6455,0.061002791795457173
HUST,MICH_EXP,0.01,18,6455,0.064003537502411931
HUST,MICH_EXP,0.0050000000000000001,18,6455,0.073776309814889848
HUST,RWTH,1,48,105140,0.19812944900761206
HUST,RWTH,0.5,48,105140,0.19854298872786602
HUST,RWTH,0.20000000000000001,48,105140,0.19922439670329939
HUST,RWTH,0.10000000000000001,48,105140,0.20000598026760577
HUST,RWTH,0.050000000000000003,48,105140,0.20124589948494817
